CustomerID,AnnualSpending,FrequencyOfPurchases,TimeSinceLastPurchase,AverageOrderValue,PreferredCategory,LoyaltyScore,DiscountSensitivity,PreferredPaymentMethod,CustomerRegion,AgeGroup
39,367.18,3,23.18,91.8,Beauty,8.65,96.34,Credit Card,North,46-55
40,519.69,2,17.85,173.23,Electronics,7.13,94.82,Gift Card,East,36-45
41,573.85,3,21.05,143.46,Books,9.68,94.28,PayPal,North,18-25
42,517.14,1,23.66,258.57,Toys,4.85,94.85,Debit Card,North,46-55
43,488.44,1,15.73,244.22,Electronics,4.71,95.13,Debit Card,North,56+
44,469.89,2,10.29,156.63,Clothing,6.89,95.32,Debit Card,South,36-45
45,352.15,4,22.7,70.43,Clothing,10.84,96.49,Debit Card,West,36-45
46,428.02,2,18.58,142.67,Beauty,6.68,95.74,Credit Card,West,36-45
47,453.94,2,23.26,151.31,Beauty,6.81,95.48,Gift Card,Central,18-25
48,605.71,4,17.72,121.14,Clothing,12.11,93.97,Gift Card,South,18-25
49,534.36,2,19.95,178.12,Automotive,7.21,94.68,PayPal,South,36-45
50,323.7,3,22.03,80.92,Automotive,8.43,96.78,Gift Card,East,56+
51,532.41,4,19.67,106.48,Beauty,11.74,94.7,Gift Card,West,18-25
52,461.49,5,16.13,76.92,Books,13.66,95.4,Credit Card,East,18-25
53,432.31,3,14.49,108.08,Sports,8.97,95.69,Debit Card,East,56+
54,561.17,2,20.82,187.06,Beauty,7.34,94.41,Credit Card,Central,36-45
55,603.1,5,19.9,100.52,Toys,14.37,93.99,Debit Card,North,36-45
56,593.13,4,12.6,118.63,Electronics,12.04,94.09,PayPal,West,26-35
57,416.08,1,14.97,208.04,Toys,4.34,95.86,Gift Card,North,56+
58,469.08,5,17.43,78.18,Groceries,13.7,95.33,PayPal,South,56+
59,533.13,2,6.51,177.71,Clothing,7.2,94.69,Debit Card,East,36-45
60,597.55,3,10.46,149.39,Books,9.79,94.05,Cash,South,56+
61,452.08,2,10.5,150.69,Electronics,6.8,95.5,Gift Card,South,18-25
62,481.43,10,21.9,43.77,Health,25.12,95.2,Gift Card,East,18-25
63,389.37,4,11.97,77.87,Sports,11.03,96.12,Credit Card,North,36-45
64,380.38,3,15.81,95.09,Toys,8.71,96.21,Cash,West,46-55
65,581.25,4,20.97,116.25,Clothing,11.99,94.21,Credit Card,North,26-35
66,635.62,5,10.67,105.94,Groceries,14.53,93.67,Debit Card,West,46-55
67,492.8,3,8.23,123.2,Beauty,9.27,95.09,Cash,North,26-35
68,600.35,1,23.07,300.18,Health,5.26,94.02,Gift Card,Central,46-55
69,536.16,2,18.68,178.72,Electronics,7.22,94.66,PayPal,East,18-25
70,435.49,3,9.19,108.87,Groceries,8.99,95.66,Gift Card,South,26-35
71,536.14,2,20.75,178.71,Groceries,7.22,94.66,Debit Card,East,36-45
72,653.8,4,20.17,130.76,Sports,12.35,93.49,PayPal,Central,18-25
73,496.42,5,21.08,82.74,Sports,13.84,95.06,PayPal,North,56+
74,656.46,0,10.97,656.46,Electronics,3.27,93.46,Debit Card,South,26-35
75,238.03,2,14.07,79.34,Sports,5.73,97.63,Gift Card,South,56+
76,582.19,3,18.49,145.55,Clothing,9.72,94.2,Cash,South,18-25
77,508.7,4,13.03,101.74,Health,11.62,94.93,Debit Card,East,18-25
78,470.1,2,7.26,156.7,Home Decor,6.89,95.32,Cash,North,56+
79,509.18,0,8.46,509.18,Automotive,2.54,94.93,Cash,South,36-45
80,301.24,2,16.75,100.41,Home Decor,6.05,97.0,Debit Card,West,36-45
81,478.03,1,12.75,239.02,Toys,4.65,95.24,Gift Card,East,56+
82,535.71,4,6.1,107.14,Health,11.76,94.66,Gift Card,South,36-45
83,647.79,1,19.8,323.89,Beauty,5.5,93.55,Debit Card,North,36-45
84,448.17,2,13.5,149.39,Books,6.78,95.54,Debit Card,South,26-35
85,419.15,1,11.65,209.58,Books,4.36,95.83,Cash,North,36-45
86,449.82,4,18.84,89.96,Home Decor,11.33,95.52,Cash,Central,46-55
87,591.54,1,14.19,295.77,Beauty,5.22,94.11,Cash,East,26-35
88,532.88,2,18.51,177.63,Health,7.2,94.69,Cash,East,26-35
89,447.02,4,6.24,89.4,Toys,11.32,95.55,Debit Card,Central,46-55
90,551.33,3,6.17,137.83,Groceries,9.56,94.51,Cash,South,36-45
91,509.71,9,16.08,50.97,Toys,22.99,94.92,Gift Card,East,26-35
92,596.86,1,23.68,298.43,Books,5.25,94.05,Cash,South,46-55
93,429.79,0,10.9,429.79,Home Decor,2.14,95.72,PayPal,East,36-45
94,467.23,1,18.29,233.62,Toys,4.6,95.35,PayPal,South,18-25
95,460.79,2,9.1,153.6,Sports,6.84,95.41,PayPal,Central,56+
96,353.65,1,11.61,176.82,Electronics,4.03,96.48,Credit Card,East,36-45
97,529.61,0,7.41,529.61,Groceries,2.64,94.72,Credit Card,West,26-35
98,526.11,5,21.85,87.68,Home Decor,13.98,94.76,PayPal,South,46-55
99,500.51,5,11.59,83.42,Groceries,13.86,95.01,Gift Card,East,46-55
100,476.54,7,10.15,59.57,Home Decor,18.28,95.25,Credit Card,South,56+
101,358.46,2,19.15,119.49,Books,6.33,96.43,Cash,East,26-35
102,457.94,4,9.59,91.59,Clothing,11.37,95.44,Gift Card,South,36-45
103,465.73,6,10.32,66.53,Beauty,15.96,95.36,PayPal,East,36-45
104,419.77,3,7.87,104.94,Toys,8.91,95.82,PayPal,South,18-25
105,483.87,7,23.33,60.48,Groceries,18.32,95.18,PayPal,South,36-45
106,540.41,3,10.46,135.1,Home Decor,9.51,94.62,Cash,West,36-45
107,688.62,4,23.92,137.72,Toys,12.52,93.14,Debit Card,West,46-55
108,517.46,2,9.17,172.49,Beauty,7.12,94.85,Cash,West,36-45
109,525.76,3,6.37,131.44,Toys,9.44,94.76,Credit Card,East,36-45
110,492.56,2,22.12,164.19,Automotive,7.0,95.09,Cash,North,26-35
111,308.12,2,16.44,102.71,Beauty,6.08,96.93,Cash,North,56+
112,497.35,5,12.33,82.89,Sports,13.84,95.05,Debit Card,North,46-55
113,506.02,2,15.24,168.67,Beauty,7.07,94.96,Debit Card,West,56+
114,746.32,3,10.69,186.58,Toys,10.54,92.57,Gift Card,East,46-55
115,480.76,4,17.43,96.15,Toys,11.49,95.21,PayPal,West,36-45
116,530.15,1,17.1,265.08,Beauty,4.91,94.72,Credit Card,Central,26-35
117,496.53,1,7.44,248.26,Groceries,4.75,95.05,Credit Card,West,26-35
118,383.13,3,22.39,95.78,Sports,8.73,96.18,Credit Card,East,46-55
119,614.28,3,14.29,153.57,Groceries,9.88,93.88,Credit Card,North,46-55
120,575.19,3,9.51,143.8,Books,9.68,94.27,Cash,South,36-45
121,579.1,3,11.53,144.78,Health,9.7,94.23,Gift Card,Central,46-55
122,409.06,1,21.59,204.53,Toys,4.31,95.93,PayPal,Central,18-25
123,640.28,3,12.9,160.07,Home Decor,10.01,93.62,PayPal,East,26-35
124,359.81,3,16.12,89.95,Groceries,8.61,96.42,Gift Card,East,46-55
125,558.69,0,23.06,558.69,Books,2.78,94.44,Gift Card,South,26-35
126,719.05,2,17.73,239.68,Groceries,8.13,92.84,Cash,East,18-25
127,400.95,1,18.16,200.47,Home Decor,4.27,96.01,Credit Card,South,26-35
128,443.37,3,10.47,110.84,Groceries,9.03,95.58,Credit Card,East,36-45
129,509.97,2,18.03,169.99,Automotive,7.09,94.92,Credit Card,North,56+
130,449.65,1,13.09,224.83,Home Decor,4.51,95.52,Cash,Central,26-35
131,344.93,3,22.4,86.23,Health,8.54,96.56,Gift Card,East,18-25
132,506.86,3,8.33,126.71,Health,9.34,94.95,Gift Card,South,56+
133,393.77,4,11.14,78.75,Books,11.05,96.08,PayPal,West,18-25
134,547.36,1,7.19,273.68,Electronics,5.0,94.55,Cash,North,46-55
135,408.06,1,12.86,204.03,Electronics,4.3,95.94,Credit Card,Central,36-45
136,654.99,7,8.67,81.87,Home Decor,19.17,93.48,Cash,East,46-55
137,421.67,1,21.21,210.84,Health,4.37,95.8,Gift Card,West,26-35
138,467.79,5,22.65,77.97,Clothing,13.69,95.34,PayPal,West,26-35
139,581.35,0,18.05,581.35,Health,2.9,94.21,Gift Card,East,36-45
140,376.91,7,7.86,47.11,Beauty,17.79,96.25,Cash,Central,46-55
141,522.75,3,12.15,130.69,Electronics,9.42,94.79,Cash,East,26-35
142,630.71,1,23.36,315.36,Sports,5.41,93.72,PayPal,Central,26-35
143,339.25,4,8.45,67.85,Toys,10.78,96.62,Cash,East,56+
144,518.46,5,16.02,86.41,Toys,13.95,94.84,PayPal,West,56+
145,525.99,2,12.35,175.33,Groceries,7.17,94.76,Cash,North,26-35
146,578.18,1,23.98,289.09,Toys,5.15,94.24,Debit Card,West,56+
147,376.3,2,11.14,125.43,Books,6.42,96.25,Debit Card,North,46-55
148,367.95,6,6.86,52.56,Groceries,15.47,96.33,Cash,North,46-55
149,552.19,1,18.64,276.1,Home Decor,5.02,94.5,Cash,West,56+
150,529.7,4,11.88,105.94,Health,11.73,94.72,Debit Card,West,18-25
151,525.05,4,17.84,105.01,Electronics,11.71,94.77,PayPal,South,26-35
152,534.64,2,7.88,178.21,Automotive,7.21,94.67,Gift Card,East,46-55
153,432.0,1,15.42,216.0,Toys,4.42,95.7,PayPal,Central,56+
154,523.23,0,12.75,523.23,Groceries,2.61,94.79,Gift Card,Central,26-35
155,529.31,2,15.66,176.44,Automotive,7.18,94.73,Cash,North,26-35
156,428.56,4,21.36,85.71,Groceries,11.23,95.73,Cash,West,36-45
157,686.58,4,23.51,137.32,Health,12.51,93.16,PayPal,East,26-35
158,547.38,3,19.56,136.85,Beauty,9.54,94.55,Gift Card,South,26-35
159,380.87,5,19.8,63.48,Automotive,13.26,96.21,Debit Card,North,46-55
160,565.66,5,15.52,94.28,Automotive,14.18,94.37,Credit Card,East,26-35
161,402.53,2,7.75,134.18,Books,6.55,95.99,PayPal,Central,18-25
162,578.71,2,18.01,192.9,Home Decor,7.43,94.24,Credit Card,East,18-25
163,615.86,4,8.66,123.17,Sports,12.16,93.87,Gift Card,West,56+
164,417.93,1,10.42,208.97,Home Decor,4.35,95.84,Credit Card,South,46-55
165,596.34,4,18.74,119.27,Beauty,12.06,94.06,PayPal,West,56+
166,541.28,5,17.83,90.21,Clothing,14.06,94.61,Cash,Central,18-25
167,582.21,3,11.66,145.55,Clothing,9.72,94.2,Cash,North,18-25
168,689.68,3,19.9,172.42,Clothing,10.25,93.13,Debit Card,East,26-35
169,475.46,4,22.91,95.09,Clothing,11.46,95.26,Credit Card,East,36-45
170,424.63,1,15.81,212.31,Home Decor,4.39,95.77,PayPal,East,36-45
171,411.05,3,18.2,102.76,Beauty,8.87,95.91,PayPal,North,18-25
172,418.42,4,10.89,83.68,Health,11.17,95.83,Cash,North,36-45
173,492.29,3,23.47,123.07,Home Decor,9.27,95.1,PayPal,South,46-55
174,534.12,1,10.93,267.06,Electronics,4.93,94.68,Gift Card,West,26-35
175,527.67,4,21.97,105.53,Automotive,11.72,94.74,PayPal,Central,56+
176,582.72,2,22.7,194.24,Automotive,7.45,94.2,Gift Card,South,56+
177,501.3,4,18.95,100.26,Groceries,11.59,95.01,Gift Card,East,36-45
178,645.35,1,20.61,322.68,Automotive,5.49,93.57,PayPal,Central,26-35
179,473.53,4,14.24,94.71,Home Decor,11.45,95.28,Cash,East,26-35
180,772.02,2,22.55,257.34,Books,8.39,92.31,Credit Card,East,18-25
181,562.57,4,19.37,112.51,Automotive,11.89,94.4,Credit Card,North,46-55
182,414.28,2,11.88,138.09,Automotive,6.61,95.87,PayPal,East,56+
183,392.91,7,6.63,49.11,Books,17.87,96.09,PayPal,South,56+
184,548.25,3,15.73,137.06,Toys,9.55,94.54,Cash,West,26-35
185,477.65,2,21.13,159.22,Health,6.92,95.24,Cash,South,36-45
186,571.4,2,21.49,190.47,Beauty,7.39,94.31,Credit Card,West,26-35
187,547.32,3,21.03,136.83,Books,9.54,94.55,Credit Card,South,18-25
188,492.72,2,9.87,164.24,Sports,7.0,95.09,Debit Card,Central,36-45
189,415.32,0,13.67,415.32,Clothing,2.07,95.86,Debit Card,North,56+
190,348.52,0,17.05,348.52,Groceries,1.74,96.53,Cash,North,46-55
191,455.35,4,18.02,91.07,Toys,11.36,95.46,Credit Card,North,36-45
192,585.64,3,12.02,146.41,Books,9.73,94.17,Gift Card,South,18-25
193,521.41,2,18.47,173.8,Books,7.14,94.81,Gift Card,Central,36-45
194,375.43,0,16.64,375.43,Books,1.87,96.26,Debit Card,East,46-55
195,517.32,3,16.2,129.33,Sports,9.39,94.85,Cash,East,26-35
196,538.53,9,17.93,53.85,Electronics,23.14,94.64,PayPal,North,36-45
197,411.61,3,16.86,102.9,Home Decor,8.87,95.9,Credit Card,Central,56+
198,515.37,5,9.0,85.9,Automotive,13.93,94.87,Credit Card,North,36-45
199,505.82,7,21.74,63.23,Electronics,18.43,94.96,Debit Card,North,56+
200,385.7,4,10.33,77.14,Groceries,11.01,96.16,Credit Card,East,36-45
201,535.78,4,19.4,107.16,Health,11.76,94.66,Cash,East,36-45
202,556.08,1,9.18,278.04,Books,5.04,94.46,Gift Card,West,36-45
203,608.31,2,17.9,202.77,Groceries,7.57,93.94,Gift Card,Central,36-45
204,605.38,3,22.12,151.35,Health,9.83,93.97,Cash,North,18-25
205,362.23,4,6.17,72.45,Toys,10.89,96.39,Gift Card,Central,36-45
206,406.22,2,23.63,135.41,Health,6.57,95.95,PayPal,East,56+
207,551.5,2,6.53,183.83,Health,7.29,94.51,Credit Card,West,36-45
208,551.38,0,6.2,551.38,Beauty,2.75,94.51,Debit Card,Central,36-45
209,551.5,2,21.44,183.83,Clothing,7.29,94.51,Credit Card,East,46-55
210,885.27,2,18.76,295.09,Clothing,8.95,91.18,PayPal,North,56+
211,557.09,2,7.9,185.7,Electronics,7.32,94.45,Debit Card,North,26-35
212,613.56,4,22.87,122.71,Toys,12.15,93.89,Gift Card,North,36-45
213,595.4,2,18.09,198.47,Clothing,7.51,94.07,PayPal,South,26-35
214,565.14,4,8.0,113.03,Toys,11.91,94.37,Gift Card,West,26-35
215,468.47,3,21.49,117.12,Clothing,9.15,95.33,PayPal,West,56+
216,575.9,1,14.66,287.95,Automotive,5.14,94.26,Gift Card,West,18-25
217,422.72,3,11.01,105.68,Groceries,8.92,95.79,Credit Card,North,46-55
218,476.32,6,20.85,68.05,Electronics,16.01,95.26,Gift Card,North,46-55
219,451.46,4,19.29,90.29,Beauty,11.34,95.5,Gift Card,South,56+
220,508.19,2,17.21,169.4,Health,7.08,94.94,PayPal,South,36-45
221,731.47,6,22.17,104.5,Groceries,17.28,92.71,Gift Card,West,18-25
222,313.27,3,21.5,78.32,Sports,8.38,96.88,Cash,East,26-35
223,568.63,2,10.08,189.54,Electronics,7.38,94.34,Cash,West,18-25
224,338.73,5,21.82,56.45,Clothing,13.05,96.63,Debit Card,West,18-25
225,452.81,4,12.73,90.56,Health,11.35,95.49,Debit Card,Central,56+
226,608.9,2,13.77,202.97,Health,7.58,93.94,Debit Card,South,46-55
227,506.43,4,23.5,101.29,Clothing,11.61,94.96,Cash,South,26-35
228,392.23,2,19.68,130.74,Beauty,6.5,96.09,PayPal,South,56+
229,428.47,1,11.79,214.23,Toys,4.41,95.73,Debit Card,North,56+
230,567.96,3,17.66,141.99,Beauty,9.65,94.34,Credit Card,North,56+
231,426.96,2,15.71,142.32,Groceries,6.67,95.75,Cash,North,46-55
232,521.65,3,8.1,130.41,Books,9.42,94.8,Debit Card,South,46-55
233,504.56,5,21.98,84.09,Home Decor,13.88,94.97,Debit Card,Central,36-45
234,434.84,3,20.79,108.71,Sports,8.98,95.67,Gift Card,West,26-35
235,714.39,2,20.0,238.13,Groceries,8.1,92.88,Gift Card,West,26-35
236,563.39,0,16.06,563.39,Clothing,2.81,94.39,Gift Card,Central,26-35
237,297.49,2,9.98,99.16,Clothing,6.03,97.04,Gift Card,North,18-25
238,518.65,2,21.91,172.88,Health,7.13,94.83,PayPal,West,56+
239,433.82,5,12.35,72.3,Automotive,13.52,95.68,PayPal,West,18-25
240,585.24,1,6.36,292.62,Automotive,5.19,94.17,Debit Card,North,56+
241,420.75,1,23.67,210.37,Beauty,4.37,95.81,PayPal,West,26-35
242,488.53,2,21.5,162.84,Toys,6.98,95.13,Gift Card,Central,18-25
243,550.5,2,17.21,183.5,Toys,7.29,94.52,Debit Card,South,36-45
244,586.58,3,6.22,146.64,Home Decor,9.74,94.16,Credit Card,North,56+
245,379.97,1,10.1,189.99,Home Decor,4.17,96.22,PayPal,South,36-45
246,466.55,2,14.14,155.52,Beauty,6.87,95.35,Gift Card,East,46-55
247,452.51,1,17.31,226.25,Toys,4.53,95.49,Cash,Central,18-25
248,434.67,0,18.75,434.67,Toys,2.16,95.67,PayPal,South,46-55
249,676.55,4,20.19,135.31,Toys,12.46,93.26,PayPal,South,56+
250,540.5,2,16.0,180.17,Sports,7.24,94.62,Cash,East,46-55
251,373.91,3,17.81,93.48,Beauty,8.68,96.28,Credit Card,South,56+
252,591.79,4,20.6,118.36,Health,12.04,94.11,PayPal,North,46-55
253,712.22,4,18.96,142.44,Home Decor,12.64,92.91,Credit Card,North,56+
254,603.25,6,23.19,86.18,Health,16.64,93.99,Credit Card,East,36-45
255,348.06,3,21.74,87.02,Groceries,8.55,96.53,Debit Card,North,26-35
256,451.58,4,9.05,90.32,Toys,11.34,95.5,PayPal,West,56+
257,626.69,1,23.05,313.35,Health,5.39,93.76,Debit Card,Central,56+
258,429.23,4,9.68,85.85,Books,11.23,95.72,Credit Card,East,46-55
259,544.38,5,23.84,90.73,Health,14.07,94.58,Credit Card,West,46-55
260,577.46,0,18.62,577.46,Toys,2.88,94.25,Gift Card,East,46-55
261,407.31,1,17.3,203.65,Sports,4.3,95.94,Credit Card,North,18-25
262,494.05,5,11.84,82.34,Automotive,13.82,95.08,Gift Card,East,56+
263,175.87,5,8.4,29.31,Electronics,12.24,98.25,Debit Card,South,26-35
264,397.56,5,8.27,66.26,Groceries,13.34,96.04,PayPal,Central,46-55
265,474.74,3,21.6,118.69,Books,9.18,95.27,Gift Card,West,26-35
266,375.22,3,13.78,93.81,Sports,8.69,96.26,Debit Card,East,46-55
267,663.24,5,16.08,110.54,Home Decor,14.67,93.39,Cash,Central,18-25
268,356.99,4,22.77,71.4,Electronics,10.87,96.44,Debit Card,East,56+
269,456.0,2,10.6,152.0,Sports,6.82,95.46,PayPal,East,46-55
270,513.07,1,19.75,256.54,Toys,4.83,94.89,Cash,Central,46-55
271,644.13,3,14.47,161.03,Toys,10.03,93.58,Credit Card,East,46-55
272,356.41,3,9.83,89.1,Automotive,8.59,96.45,PayPal,South,46-55
273,616.32,5,21.35,102.72,Sports,14.43,93.86,PayPal,East,46-55
274,501.02,5,18.24,83.5,Clothing,13.86,95.01,Credit Card,South,46-55
275,401.85,4,7.71,80.37,Home Decor,11.09,96.0,Credit Card,South,56+
276,546.21,2,15.75,182.07,Clothing,7.27,94.56,Gift Card,West,56+
277,519.91,1,21.33,259.95,Clothing,4.86,94.82,PayPal,West,36-45
278,439.98,4,7.2,88.0,Home Decor,11.28,95.62,Credit Card,Central,46-55
279,506.98,2,13.49,168.99,Books,7.07,94.95,Cash,East,46-55
280,461.47,2,20.49,153.82,Books,6.84,95.4,Cash,East,36-45
281,511.35,3,21.45,127.84,Sports,9.36,94.91,Gift Card,North,18-25
282,566.21,1,19.96,283.11,Electronics,5.09,94.36,Gift Card,North,56+
283,658.6,3,11.5,164.65,Electronics,10.1,93.44,Credit Card,Central,56+
284,376.22,3,15.12,94.05,Beauty,8.69,96.25,Cash,North,56+
285,713.3,10,19.34,64.85,Beauty,26.28,92.9,Cash,South,18-25
286,304.79,2,8.75,101.6,Electronics,6.06,96.96,Debit Card,West,36-45
287,484.82,2,16.71,161.61,Books,6.96,95.17,Gift Card,Central,26-35
288,558.83,3,18.97,139.71,Clothing,9.6,94.43,Debit Card,North,56+
289,528.1,9,21.3,52.81,Groceries,23.08,94.74,Debit Card,Central,36-45
290,437.73,3,8.01,109.43,Home Decor,9.0,95.64,Gift Card,West,26-35
291,479.19,2,11.93,159.73,Health,6.93,95.23,Credit Card,East,36-45
292,450.7,2,15.75,150.23,Sports,6.79,95.51,PayPal,South,26-35
293,441.06,2,18.62,147.02,Toys,6.74,95.61,Credit Card,West,36-45
294,584.96,2,19.14,194.99,Groceries,7.46,94.17,Gift Card,Central,36-45
295,535.7,2,10.56,178.57,Sports,7.21,94.66,Gift Card,East,36-45
296,430.71,4,6.25,86.14,Health,11.24,95.71,Cash,Central,26-35
297,589.96,1,18.49,294.98,Electronics,5.21,94.12,Debit Card,South,56+
298,530.73,0,22.36,530.73,Beauty,2.64,94.71,Cash,West,36-45
299,581.29,2,20.36,193.76,Books,7.44,94.21,PayPal,Central,26-35
300,562.96,7,17.2,70.37,Beauty,18.71,94.39,Credit Card,West,46-55
301,417.1,2,23.6,139.03,Books,6.62,95.85,PayPal,East,46-55
302,443.98,2,13.8,147.99,Books,6.76,95.58,Debit Card,West,18-25
303,574.73,3,15.45,143.68,Automotive,9.68,94.28,Credit Card,East,36-45
304,561.04,3,6.22,140.26,Electronics,9.61,94.41,Credit Card,North,36-45
305,497.91,2,23.03,165.97,Beauty,7.03,95.04,Gift Card,West,36-45
306,511.73,4,16.5,102.35,Health,11.64,94.9,Cash,North,46-55
307,627.77,5,13.03,104.63,Groceries,14.49,93.75,PayPal,North,18-25
308,440.84,4,6.8,88.17,Clothing,11.29,95.61,Debit Card,South,18-25
309,554.71,2,12.52,184.9,Groceries,7.31,94.47,Gift Card,East,26-35
310,479.78,5,6.06,79.96,Groceries,13.75,95.22,Gift Card,East,26-35
311,478.23,2,11.84,159.41,Sports,6.93,95.24,Cash,South,56+
312,609.88,2,23.13,203.29,Health,7.58,93.93,Credit Card,Central,26-35
313,582.54,4,8.78,116.51,Electronics,11.99,94.2,Cash,West,36-45
314,581.35,4,15.82,116.27,Beauty,11.99,94.21,Cash,South,18-25
315,630.55,2,9.36,210.18,Electronics,7.69,93.72,Gift Card,Central,18-25
316,502.1,6,20.1,71.73,Health,16.14,95.0,Gift Card,West,56+
317,568.2,3,16.12,142.05,Clothing,9.65,94.34,Credit Card,North,46-55
318,468.97,7,9.64,58.62,Home Decor,18.24,95.33,Gift Card,North,56+
319,532.42,1,21.59,266.21,Beauty,4.92,94.7,Debit Card,South,18-25
320,486.99,1,20.11,243.49,Sports,4.7,95.15,Cash,East,56+
321,509.7,2,23.12,169.9,Beauty,7.08,94.92,PayPal,South,46-55
322,559.52,0,6.01,559.52,Clothing,2.79,94.43,Cash,North,26-35
323,418.18,4,14.23,83.64,Sports,11.17,95.83,Cash,South,56+
324,709.24,5,24.0,118.21,Beauty,14.9,92.94,Credit Card,North,26-35
325,399.4,2,20.6,133.13,Beauty,6.53,96.02,PayPal,Central,26-35
326,378.58,1,20.96,189.29,Health,4.16,96.23,Cash,South,26-35
327,615.81,2,17.18,205.27,Electronics,7.61,93.87,Cash,West,36-45
328,579.17,9,18.83,57.92,Automotive,23.34,94.23,Credit Card,North,46-55
329,562.41,3,20.5,140.6,Toys,9.62,94.4,Gift Card,West,56+
330,562.83,2,7.66,187.61,Electronics,7.35,94.39,Debit Card,West,18-25
331,498.78,6,18.47,71.25,Sports,16.12,95.03,Debit Card,South,18-25
332,410.27,5,20.68,68.38,Electronics,13.41,95.91,Gift Card,North,26-35
333,507.58,1,6.74,253.79,Health,4.8,94.94,Cash,South,36-45
334,432.28,1,11.35,216.14,Electronics,4.43,95.69,Cash,North,56+
335,597.51,4,11.83,119.5,Health,12.07,94.05,Credit Card,South,18-25
336,485.29,0,21.38,485.29,Electronics,2.42,95.17,Debit Card,Central,18-25
337,417.45,1,20.05,208.73,Beauty,4.35,95.84,Gift Card,South,18-25
338,467.86,1,17.82,233.93,Clothing,4.6,95.34,Cash,North,46-55
339,541.29,2,20.49,180.43,Electronics,7.24,94.61,Credit Card,South,36-45
340,443.63,6,14.16,63.38,Clothing,15.85,95.58,Gift Card,North,46-55
341,417.78,2,21.75,139.26,Health,6.63,95.84,Debit Card,East,18-25
342,524.37,8,10.22,58.26,Books,20.79,94.78,PayPal,South,36-45
343,524.5,2,18.68,174.83,Toys,7.16,94.78,PayPal,West,36-45
344,449.31,1,10.35,224.65,Groceries,4.51,95.52,Gift Card,North,56+
345,452.9,3,6.72,113.22,Sports,9.07,95.49,Debit Card,West,26-35
346,523.2,2,11.11,174.4,Toys,7.15,94.79,Credit Card,East,56+
